order_id,order_item_id,id_tempo,id_cliente,id_produto,id_vendedor,id_localidade,id_pagamento,order_status,data_compra,ano,qtd_item,vl_preco,vl_frete,vl_total_item,vl_pagamento_pedido,vl_pagamento_rateado,qtd_parcelas,tipo_pagamento,cidade_cliente,estado_cliente,cep_cliente
00010242fe8c5a6d1ba2dd792cb16214,1,20170913,23675,8629,855,7589,2.0,delivered,2017-09-13T08:59:02,2017,1,58.9,13.29,72.19,72.19,72.19,2,credit_card,campos dos goytacazes,RJ,28013
00018f77f2f0320c557190d7a144bdd3,1,20170426,95963,29598,2679,5655,2.0,delivered,2017-04-26T10:53:06,2017,1,239.9,19.93,259.83,259.83,259.83,3,credit_card,santa fe do sul,SP,15775
000229ec398224ef6ca0657da4fc703e,1,20180114,38903,25668,1118,8830,2.0,delivered,2018-01-14T14:33:31,2018,1,199.0,17.87,216.87,216.87,216.87,5,credit_card,para de minas,MG,35661
00024acbcdf0a6daa1e931b038114c75,1,20180808,82958,15323,1920,4809,2.0,delivered,2018-08-08T10:00:35,2018,1,12.99,12.79,25.78,25.78,25.78,2,credit_card,atibaia,SP,12952
00042b26cf59d7ce69dfabb4e55b4fd9,1,20170204,34382,22080,2698,4946,2.0,delivered,2017-02-04T13:57:51,2017,1,199.9,18.14,218.04,218.04,218.04,3,credit_card,varzea paulista,SP,13226
00048cc3ae777c65dbb7d2a0634bc1ea,1,20170515,50184,30848,1224,9486,1.0,delivered,2017-05-15T21:42:34,2017,1,21.9,12.69,34.59,34.59,34.59,1,boleto,uberaba,MG,38017
00054e8431b9d7675808bcb819fb4a32,1,20171210,19737,18182,1372,5793,2.0,delivered,2017-12-10T11:53:48,2017,1,19.9,11.85,31.75,31.75,31.75,1,credit_card,guararapes,SP,16700
000576fe39319847cbb9d288c5617fa6,1,20180704,61707,11123,1091,4515,2.0,delivered,2018-07-04T12:08:27,2018,1,810.0,70.75,880.75,880.75,880.75,10,credit_card,praia grande,SP,11702
0005a1a1728c9d785b8e2b08b904576c,1,20180319,8540,6385,1997,4379,2.0,delivered,2018-03-19T18:40:33,2018,1,145.95,11.65,157.6,157.6,157.6,3,credit_card,santos,SP,11075
0005f50442cb953dcd1d21e1fb923495,1,20180702,20619,9013,2231,3305,2.0,delivered,2018-07-02T13:59:39,2018,1,53.99,11.4,65.39,65.39,65.39,1,credit_card,jandira,SP,6636
